,review,city,country,hotel,originalRating,address,latitude,longitude,created_at,Word,sentimentRating
10,"As this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day PreviewAs this is a long weekend, we decided to book a staycation at Fullerton Hotel to witness the Firework from the National Day Preview",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-22 21:17:07,,3.5
11," Booked a Straits Club Marina Bay View which we have access for Champagne Breakfast, Afternoon Tea and Evening Canapés, it was worth it Booked a Straits Club Marina Bay View which we have access for Champagne Breakfast, Afternoon Tea and Evening Canapés, it was worth it Booked a Straits Club Marina Bay View which we have access for Champagne Breakfast, Afternoon Tea and Evening Canapés, it was worth it",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-15 17:29:25,,4.0
12," 

Check in was fast and smooth 

Check in was fast and smooth 

Check in was fast and smooth 

Check in was fast and smooth 

Check in was fast and smooth 

Check in was fast and smooth 

Check in was fast and smooth 

Check in was fast and smooth",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-04-28 10:47:16,,4.625
13," Though the room we got is not the newly renovated as according to the front desk but we are still happy with it because we are facing directly at the Fireworks, that's our main intention of the stay for our 4 year old son Though the room we got is not the newly renovated as according to the front desk but we are still happy with it because we are facing directly at the Fireworks, that's our main intention of the stay for our 4 year old son Though the room we got is not the newly renovated as according to the front desk but we are still happy with it because we are facing directly at the Fireworks, that's our main intention of the stay for our 4 year old son",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-12 21:14:01,room ,1.6666666666666667
14,"

Will definitely visit Fullerton Hotel again and next time am looking at Marina Bay View with balcony

Will definitely visit Fullerton Hotel again and next time am looking at Marina Bay View with balcony

Will definitely visit Fullerton Hotel again and next time am looking at Marina Bay View with balcony",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-04-26 01:33:54,,5.0
15,Nice Hotel Worth stayingNice Hotel Worth stayingNice Hotel Worth stayingNice Hotel Worth stayingNice Hotel Worth stayingNice Hotel Worth stayingNice Hotel Worth staying,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-04-17 14:01:08,,4.428571428571429
16,"
The service is excellent
The service is excellent",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-07 10:52:58,service ,4.5
17,"
Will go again
Will go again",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.2,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-04-07 11:49:53,,3.0
18,Very good location and the room was well kept and clean except that the carpark was at quite a long walking distance which is not trolley friendly,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-12 18:46:29,location room cleanliness ,5.0
19, Kids was given ice cream daily which make them very happy Kids was given ice cream daily which make them very happy Kids was given ice cream daily which make them very happy Kids was given ice cream daily which make them very happy,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-04-21 23:42:36,,5.0
20, Overall was good Overall was good Overall was good Overall was good,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-21 11:00:12,,3.0
21, If carpark is nearer I think it would be great If carpark is nearer I think it would be great If carpark is nearer I think it would be great,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-17 12:52:19,,4.0
22,   ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-08 22:37:26,,5.0
23,"It’s awesome, the best of the bestIt’s awesome, the best of the bestIt’s awesome, the best of the bestIt’s awesome, the best of the bestIt’s awesome, the best of the bestIt’s awesome, the best of the best",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-09-19 23:40:05,,5.0
24, The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in The feel was different from others the minute you walk in,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-22 16:28:40,,4.636363636363637
25," The hotel was beautiful, the staff were professional and consistently so across The hotel was beautiful, the staff were professional and consistently so across The hotel was beautiful, the staff were professional and consistently so across The hotel was beautiful, the staff were professional and consistently so across",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),3.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-03-14 12:40:28,,3.0
26, Amazing experience Amazing experience Amazing experience Amazing experience,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-03-02 15:21:21,,4.75
27,Fuss free check inFuss free check inFuss free check inFuss free check inFuss free check inFuss free check inFuss free check in,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-03-06 20:58:28,,3.857142857142857
28, Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation Kids get to redeem free ice cream throughout the staycation,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-03-23 11:46:18,,2.5
29, Wonderful room and swimming pool Wonderful room and swimming pool Wonderful room and swimming pool,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-03-22 11:58:32,room ,4.333333333333333
30,   ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-15 02:20:51,,3.0
31,Bought the stay as a surprise for my girl who turns 9Bought the stay as a surprise for my girl who turns 9Bought the stay as a surprise for my girl who turns 9,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-16 15:17:36,,3.3333333333333335
32, The hotel gave a complimentary slice of cake and that was an added surprise The hotel gave a complimentary slice of cake and that was an added surprise The hotel gave a complimentary slice of cake and that was an added surprise The hotel gave a complimentary slice of cake and that was an added surprise The hotel gave a complimentary slice of cake and that was an added surprise The hotel gave a complimentary slice of cake and that was an added surprise,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-13 21:33:46,,3.6666666666666665
33," Love the location, the service and cleanliness of the place",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-09 15:03:06,location service cleanliness ,5.0
34," Breakfast was awesome too, good variety with spacious seating Breakfast was awesome too, good variety with spacious seating Breakfast was awesome too, good variety with spacious seating Breakfast was awesome too, good variety with spacious seating",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-08-11 12:18:34,spa ,5.0
35, It being near suntec also brought lots of convenience for family activities It being near suntec also brought lots of convenience for family activities It being near suntec also brought lots of convenience for family activities It being near suntec also brought lots of convenience for family activities It being near suntec also brought lots of convenience for family activities,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.2,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-13 06:16:06,,4.0
36," Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating Did movie marathon, VR and lots of shopping and eating",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-07 09:46:02,,4.625
37, Spacious room with complimentary extra bed for kids Spacious room with complimentary extra bed for kids Spacious room with complimentary extra bed for kids Spacious room with complimentary extra bed for kids,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-08-11 10:11:21,spa room ,4.75
38,    ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-07-31 17:32:36,,3.5
39,"The stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptableThe stay was alright, location is good and food is acceptable",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-18 19:52:45,food location ,2.5
40," Just that the room I got, the fridge isn't cold and the speaker in the bathroom is faulty",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-04 10:17:32,bathroom room ,5.0
41, Shower head hose leaking and bath tub shower head isn't working when switching from tap Shower head hose leaking and bath tub shower head isn't working when switching from tap Shower head hose leaking and bath tub shower head isn't working when switching from tap Shower head hose leaking and bath tub shower head isn't working when switching from tap,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-08 15:37:36,,4.5
42, Other than that I think the stay is alright,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-08 09:28:31,,5.0
43, Pool is rather small when the area is packed Pool is rather small when the area is packed,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-03-06 16:30:05,,4.0
44," There is QR code to book for food, breakfast, also to book the facilities",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-09-11 13:43:36,food ,5.0
45, Everything is convenient Everything is convenient Everything is convenient,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-08 13:37:12,,4.666666666666667
46," Check in progress is fast, so do checking out Check in progress is fast, so do checking out Check in progress is fast, so do checking out Check in progress is fast, so do checking out Check in progress is fast, so do checking out Check in progress is fast, so do checking out Check in progress is fast, so do checking out",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-04 14:36:35,,4.571428571428571
47," Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning Was given a $200 credit promotion during the book, so that means we can enjoy free dinner and breakfast the next morning",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-02 21:08:05,,3.642857142857143
48,Pleasant staycation even though for a nightPleasant staycation even though for a nightPleasant staycation even though for a nightPleasant staycation even though for a nightPleasant staycation even though for a nightPleasant staycation even though for a nightPleasant staycation even though for a nightPleasant staycation even though for a night,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-04 14:48:22,,3.0
49, Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze Everything is good and check-in check-out processes were a breeze,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-01 00:18:53,,3.0
50, Even the in-room dining service was magnificent Even the in-room dining service was magnificent Even the in-room dining service was magnificent Even the in-room dining service was magnificent,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),3.2,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-07-11 22:02:05,service room ,4.25
51," 

My feedback for the stay would be:
(1) Awesome view of the Singapore River could not be fully enjoyed by someone of limited height 

My feedback for the stay would be:
(1) Awesome view of the Singapore River could not be fully enjoyed by someone of limited height",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-04-05 19:57:14,,4.0
52," For someone tall like me, I can easily view the Singapore River and the bridge down there For someone tall like me, I can easily view the Singapore River and the bridge down there For someone tall like me, I can easily view the Singapore River and the bridge down there For someone tall like me, I can easily view the Singapore River and the bridge down there For someone tall like me, I can easily view the Singapore River and the bridge down there For someone tall like me, I can easily view the Singapore River and the bridge down there",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-26 18:13:30,,3.6666666666666665
53," For my petite mom? Could only view the skyline 🤭

(2) Menu for IRD Breakfast was not available via the QR Code For my petite mom? Could only view the skyline 🤭

(2) Menu for IRD Breakfast was not available via the QR Code For my petite mom? Could only view the skyline 🤭

(2) Menu for IRD Breakfast was not available via the QR Code For my petite mom? Could only view the skyline 🤭

(2) Menu for IRD Breakfast was not available via the QR Code For my petite mom? Could only view the skyline 🤭

(2) Menu for IRD Breakfast was not available via the QR Code For my petite mom? Could only view the skyline 🤭

(2) Menu for IRD Breakfast was not available via the QR Code",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-26 21:02:22,pet-friendly ,3.6666666666666665
54, Need to personally call them and ask for the menu Need to personally call them and ask for the menu Need to personally call them and ask for the menu,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-01-03 10:48:57,,4.666666666666667
55," In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone In my morning voice, I especially would appreciate the online booking for the food instead of having to talk to someone over the phone",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-31 15:57:52,food ,3.3333333333333335
56, Talking to people before I even have my coffee? ^shakes head^ Nope,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-02-06 00:34:40,,5.0
57," 

Other than the above, all was good 

Other than the above, all was good 

Other than the above, all was good 

Other than the above, all was good",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-17 21:10:48,,4.75
58, I enjoyed my stay I enjoyed my stay I enjoyed my stay I enjoyed my stay I enjoyed my stay,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-13 11:31:53,,4.4
59,    ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-19 15:17:41,,2.75
60,My girls love to get their free ice cream after every mealMy girls love to get their free ice cream after every mealMy girls love to get their free ice cream after every mealMy girls love to get their free ice cream after every mealMy girls love to get their free ice cream after every meal,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-27 11:36:30,,4.0
61,  Queen size Bed is a little too small for us as they run out of beds for kids  Queen size Bed is a little too small for us as they run out of beds for kids  Queen size Bed is a little too small for us as they run out of beds for kids,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-08 17:35:34,,5.0
62,  ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-11-25 00:06:11,,4.5
63,Best hotelBest hotelBest hotelBest hotel,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-11-17 15:24:46,,4.0
64, Recommended Recommended,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-25 14:34:53,,5.0
65," Basement is connected to merlion park, and Raffles Mrt station no need to cross road Basement is connected to merlion park, and Raffles Mrt station no need to cross road Basement is connected to merlion park, and Raffles Mrt station no need to cross road Basement is connected to merlion park, and Raffles Mrt station no need to cross road Basement is connected to merlion park, and Raffles Mrt station no need to cross road Basement is connected to merlion park, and Raffles Mrt station no need to cross road Basement is connected to merlion park, and Raffles Mrt station no need to cross road",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-07 21:32:03,,3.0
66, Food was wonderful Food was wonderful Food was wonderful Food was wonderful Food was wonderful Food was wonderful Food was wonderful Food was wonderful Food was wonderful,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.2,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-11-05 19:43:24,food ,3.111111111111111
67, Scenery was therapeutic Scenery was therapeutic Scenery was therapeutic Scenery was therapeutic,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),3.2,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-15 21:17:14,,1.5
68, The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out The best part my husband likes is the TOTO toilet bowl check it out,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-04 23:12:13,,4.75
69, Satay very nice 👍🏻 Chicken rice superb,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-12-19 14:25:01,,5.0
70,   ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-22 11:04:09,,4.0
71,We noticed that the bath towels are not washed properlyWe noticed that the bath towels are not washed properlyWe noticed that the bath towels are not washed properly,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-11-07 18:44:44,,1.3333333333333333
72, There was red stain on one of the towels,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-11-02 18:08:12,,5.0
73, The toilet entrance floor is very slippery when it's wet The toilet entrance floor is very slippery when it's wet The toilet entrance floor is very slippery when it's wet,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-12 15:48:45,,4.0
74,"Early check-in at 11am, check in was fast and smooth! Heritage hotel with great viewEarly check-in at 11am, check in was fast and smooth! Heritage hotel with great viewEarly check-in at 11am, check in was fast and smooth! Heritage hotel with great viewEarly check-in at 11am, check in was fast and smooth! Heritage hotel with great viewEarly check-in at 11am, check in was fast and smooth! Heritage hotel with great viewEarly check-in at 11am, check in was fast and smooth! Heritage hotel with great viewEarly check-in at 11am, check in was fast and smooth! Heritage hotel with great view",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2021-11-11 10:38:06,,3.5714285714285716
